STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO),2015,JORDÂNIA,F,2015.0,FOZ DO IGUAÇU,2018-05-25,JO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,REP. DEM. DO CONGO,F,1959.0,BRASÍLIA,2018-03-30,CD
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO,2017,ANGOLA,M,2000.0,RIO DE JANEIRO,2018-02-21,AO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2018,REP. DEM. DO CONGO,F,2001.0,SÃO PAULO,2018-04-27,CD
ELIGIBILIDADE - DEFERIDO,2015,REP. DEM. DO CONGO,M,1979.0,SÃO PAULO,2018-01-26,CD
ELIGIBILIDADE - DEFERIDO,2017,CAMARÕES,F,1978.0,BRASÍLIA,2018-03-30,CM
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2017,REP. DEM. DO CONGO,F,1991.0,SÃO PAULO,2018-01-26,CD
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO,2018,REP. DEM. DO CONGO,F,1986.0,BRASÍLIA,2018-06-29,CD
CESSAÇÃO,2018,ARGENTINA,M,1970.0,BRASÍLIA,2018-05-25,AR
ELIGIBILIDADE - INDEFERIDO,2014,LÍBANO,M,1980.0,PONTA PORÃ,2018-01-26,LB
ELIGIBILIDADE - DEFERIDO,2014,AFEGANISTÃO,M,1989.0,SÃO PAULO,2018-05-25,AF
ELIGIBILIDADE - DEFERIDO,2015,SÍRIA,F,1945.0,SÃO PAULO,2018-04-27,SY
