STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
PERDA DA CONDIÇÃO DE REFUGIADO;2014;CUBA;M;1992;BRASÍLIA;28/09/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO;2018;REP.DOMINICANA;F;2008;SÃO PAULO;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;HAITI;M;1980;BRASILÉIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;2012;BOA VISTA;29/06/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;JORDÂNIA;F;2015;FOZ DO IGUAÇU;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1959;BRASÍLIA;30/03/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO;2017;ANGOLA;M;2000;RIO DE JANEIRO;21/02/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;F;2001;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;REP. DEM. DO CONGO;M;1979;SÃO PAULO;26/01/2018
ELIGIBILIDADE - DEFERIDO;2017;CAMARÕES;F;1978;BRASÍLIA;30/03/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1991;SÃO PAULO;26/01/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;F;1986;BRASÍLIA;29/06/2018
CESSAÇÃO;2018;ARGENTINA;M;1970;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1980;PONTA PORÃ;26/01/2018
ELIGIBILIDADE - DEFERIDO;2014;AFEGANISTÃO;M;1989;SÃO PAULO;25/05/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;F;1945;SÃO PAULO;27/04/2018
CESSAÇÃO;2006;IRAQUE;M;1977;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1987;GUARULHOS;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1980;SÃO PAULO;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;GUINÉ-BISSAU;F;1992;RIO DE JANEIRO;29/06/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;GUINÉ;F;1990;SÃO PAULO;25/05/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1988;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1988;FOZ DO IGUAÇU;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;BANGLADESH;M;1981;BRASÍLIA;25/05/2018
ELIGIBILIDADE - DEFERIDO;2016;REP. DEM. DO CONGO;M;1981;RIO DE JANEIRO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2012;SENEGAL;M;1980;RIO DE JANEIRO;27/04/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;CHINA;M;1981;SÃO PAULO;27/04/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;F;1968;RIO DE JANEIRO;27/07/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1990;SÃO PAULO;27/07/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;ANGOLA;M;1990;SÃO PAULO;27/07/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1985;CURITIBA;27/07/2018
