STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;1979;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;1985;SÃO PAULO;21/02/2018
ELIGIBILIDADE - DEFERIDO;2017;CUBA;M;1987;BOA VISTA;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;2009;MANAUS;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1981;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2017;URUGUAI;F;1972;BELÉM;30/03/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;1978;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;2001;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;2016;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;CUBA;F;1980;BRASÍLIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;F;2003;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1980;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;2006;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2017;URUGUAI;M;2011;BELÉM;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1996;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;F;1992;FOZ DO IGUAÇU;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2018;VENEZUELA;M;1983;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;FILIPINAS;F;1963;PORTO ALEGRE;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;2012;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2017;URUGUAI;M;2013;BELÉM;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1984;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;PALESTINA;M;1985;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1991;NITERÓI;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2016;GUINÉ-BISSAU;M;1983;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2018;LÍBANO;M;1971;BRASÍLIA;30/03/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;M;2015;SÃO PAULO;26/01/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;1980;SÃO PAULO;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1983;MANAUS;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2014;REP.DOMINICANA;M;1988;BRASILÉIA;30/03/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1995;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1985;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1992;MARINGÁ;21/02/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;2001;SÃO PAULO;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1962;MANAUS;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;2014;SÃO PAULO;26/01/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;2007;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1988;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2016;BANGLADESH;M;1968;SÃO PAULO;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1979;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;2004;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1988;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1989;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1984;SÃO PAULO;30/03/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;2010;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1974;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;2015;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1986;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1968;MARINGÁ;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1974;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2014;BANGLADESH;M;1991;GUAÍRA;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1998;BOA VISTA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;2007;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;1981;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1977;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;REP. DEM. DO CONGO;M;2014;MANAUS;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1993;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1985;NITERÓI;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1996;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;MOÇAMBIQUE;M;1989;VILHENA;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1989;SÃO PAULO;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;2010;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1999;CURITIBA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1985;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;2005;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2015;PAQUISTÃO;M;1983;BRASÍLIA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;SENEGAL;M;1994;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;M;1984;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;CUBA;M;1970;GUARAPUAVA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;2009;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;PAQUISTÃO;M;1990;BRASÍLIA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1985;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;M;1986;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;CUBA;M;2002;SALVADOR;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2016;TOGO;M;1983;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;2011;SÃO PAULO;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1988;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;M;1984;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;1995;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;REP. DEM. DO CONGO;M;1981;DIVINÓPOLIS;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;F;1977;SÃO PAULO;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1988;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;F;1980;FLORIANÓPOLIS;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1995;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;REP. DEM. DO CONGO;M;1976;CURITIBA;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;M;2003;SÃO PAULO;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;2004;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;1987;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1979;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;M;2006;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2013;IRÃ;F;2013;BRASÍLIA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;1997;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;2007;SÃO PAULO;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;F;2000;SÃO PAULO;21/02/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;1964;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;GUINÉ-BISSAU;M;1978;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1991;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;2009;SÃO PAULO;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1983;SÃO PAULO;26/01/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1993;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;SERRA LEOA;M;1981;SÃO PAULO;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1975;BOA VISTA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;2013;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;1971;MANAUS;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;BANGLADESH;M;1983;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;BANGLADESH;M;1984;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1993;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1992;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;M;1988;MANAUS;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1989;SÃO PAULO;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2014;GÂMBIA;M;1989;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1994;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;2000;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;PERU;M;1998;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1983;SÃO PAULO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2013;PERU;M;1987;CURITIBA;21/02/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;1990;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;1990;RIO DE JANEIRO;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2013;IRÃ;M;1972;BRASÍLIA;26/01/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1990;BOA VISTA;29/06/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;2010;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;PALESTINA;F;2014;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1992;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;GUINÉ-BISSAU;M;1975;BARRACÃO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;VENEZUELA;F;1985;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;2003;GUARULHOS;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1994;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;GUINÉ-BISSAU;M;1985;BARRACÃO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;VENEZUELA;F;2012;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1975;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1971;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;NIGÉRIA;M;1986;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;VENEZUELA;F;2014;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1984;FOZ DO IGUAÇU;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;CUBA;M;1986;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2016;MALI;M;1983;SÃO PAULO;26/01/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;F;1984;FOZ DO IGUAÇU;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;VENEZUELA;M;1964;MANAUS;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1999;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1974;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;VENEZUELA;M;1985;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1986;BRASÍLIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1979;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1976;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;VENEZUELA;M;2014;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;M;1992;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;GANA;M;1986;RIO DE JANEIRO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1986;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;HAITI;M;1989;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;F;1992;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1992;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1976;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1990;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;F;1990;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1979;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1955;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;2004;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1980;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1971;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;2012;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;VENEZUELA;M;1997;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1987;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;SÍRIA;M;2009;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;2011;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;F;1996;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1968;BRASÍLIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;GANA;M;1984;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1993;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;M;1989;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;PALESTINA;F;1984;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2007;COSTA DO MARFIM;M;1975;BRASÍLIA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;NIGÉRIA;M;1981;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;VENEZUELA;M;1981;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1986;CAMPO DOS GOYTACAZES;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2014;LÍBANO;M;1986;CASCAVÉL;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1985;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;1989;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2012;CHINA;F;1983;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;PAQUISTÃO;M;1990;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;NIGÉRIA;M;1986;GUARULHOS;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;VENEZUELA;F;1966;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;1985;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1994;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;NIGÉRIA;M;1973;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;CUBA;F;1997;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;F;1963;CURITIBA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2011;GUINÉ;M;1986;BRASÍLIA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;NIGÉRIA;M;1979;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;CUBA;M;1993;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1992;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;VENEZUELA;F;2012;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1995;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;HAITI;M;1992;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;F;1980;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;CUBA;F;1974;CRICIÚMA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;PAQUISTÃO;M;1982;PACARAÍMA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;ANGOLA;F;1990;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1994;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1989;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;M;2014;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;M;1995;MANAUS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1987;GOIÂNIA;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2016;SERRA LEOA;M;1990;GUARULHOS;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;F;1963;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;HAITI;M;1984;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1991;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1993;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;BANGLADESH;M;1979;GUAÍRA;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;ÍNDIA;M;1990;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;PALESTINA;M;1983;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2015;GUINÉ;M;1990;CASCAVÉL;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1985;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;HAITI;F;1977;BRASILÉIA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2018;SÍRIA;M;1998;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;HAITI;M;1955;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;NIGÉRIA;M;1984;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;HAITI;M;1971;BRASILÉIA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1986;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1989;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;BENIN;M;1977;CORUMBÁ;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;HAITI;M;1982;BARRACÃO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1997;RIO DE JANEIRO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;1998;BOA VISTA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;COSTA DO MARFIM;F;1971;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;HAITI;M;1997;BOA VISTA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1989;ITAÍ;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2014;SENEGAL;M;1973;RIO BRANCO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;PAQUISTÃO;M;1988;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;BANGLADESH;F;1985;BRASÍLIA;28/09/2018
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;1996;SÃO PAULO;28/09/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;F;1990;BOA VISTA;29/06/2018
